itar,ihad,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,AUT
1,1,0.00130600,0.00326800,0,1000,-99999,99999,-99999,99999,0.00000000
1,1,0.00326800,0.00517200,0,1000,-99999,99999,-99999,99999,0.00000459
1,1,0.00517200,0.00743400,0,1000,-99999,99999,-99999,99999,0.00004676
1,1,0.00743400,0.01018900,0,1000,-99999,99999,-99999,99999,0.00010315
1,1,0.01018900,0.01359500,0,1000,-99999,99999,-99999,99999,0.00025917
1,1,0.01359500,0.01791500,0,1000,-99999,99999,-99999,99999,0.00035673
1,1,0.01791500,0.02349000,0,1000,-99999,99999,-99999,99999,0.00059061
1,1,0.02349000,0.03177500,0,1000,-99999,99999,-99999,99999,0.00108726
1,1,0.03177500,0.04817300,0,1000,-99999,99999,-99999,99999,0.00184958
1,1,0.04817300,0.10000000,0,1000,-99999,99999,-99999,99999,0.00536640
1,1,0.10000000,0.11248300,0,1000,-99999,99999,-99999,99999,0.00800592
1,1,0.11248300,0.12896700,0,1000,-99999,99999,-99999,99999,0.00944895
1,1,0.12896700,0.15191700,0,1000,-99999,99999,-99999,99999,0.01133414
1,1,0.15191700,0.18730900,0,1000,-99999,99999,-99999,99999,0.01528738
1,1,0.18730900,0.25499000,0,1000,-99999,99999,-99999,99999,0.02098583
1,1,0.25499000,0.99989600,0,1000,-99999,99999,-99999,99999,0.00778322
