itar,ihad,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,AUT
1,1,4e-05,0.000128,0,1000,-99999,99999,-99999,99999,0.0
1,1,0.000128,0.000208,0,1000,-99999,99999,-99999,99999,0.0
1,1,0.000208,0.000319,0,1000,-99999,99999,-99999,99999,4.9e-07
1,1,0.000319,0.000473,0,1000,-99999,99999,-99999,99999,3.45e-06
1,1,0.000473,0.000687,0,1000,-99999,99999,-99999,99999,8.33e-06
1,1,0.000687,0.001,0,1000,-99999,99999,-99999,99999,2.284e-05
1,1,0.001,0.001161,0,1000,-99999,99999,-99999,99999,4.12e-05
1,1,0.001161,0.001368,0,1000,-99999,99999,-99999,99999,4.704e-05
1,1,0.001368,0.001627,0,1000,-99999,99999,-99999,99999,7.548e-05
1,1,0.001627,0.00195,0,1000,-99999,99999,-99999,99999,0.00012579
1,1,0.00195,0.002385,0,1000,-99999,99999,-99999,99999,0.00018671
1,1,0.002385,0.003026,0,1000,-99999,99999,-99999,99999,0.00031506
1,1,0.003026,0.004058,0,1000,-99999,99999,-99999,99999,0.0005665
1,1,0.004058,0.005965,0,1000,-99999,99999,-99999,99999,0.00098187
1,1,0.005965,0.010936,0,1000,-99999,99999,-99999,99999,0.00241181
1,1,0.010936,0.99979,0,1000,-99999,99999,-99999,99999,0.06092706
